Using cpu device
---------------------------------
| rollout/           |          |
|    n_updates            | 465         |
|    policy_gradient_loss | -0.0219     |
|    std                  | 1.06        |
|    value_loss           | 0.0216      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 98.2        |
|    ep_rew_mean          | 484         |
| time/                   |             |
|    fps                  | 1508        |
|    iterations           | 33          |
|    time_elapsed         | 1433        |
|    total_timesteps      | 2162688     |
| train/                  |             |
|    approx_kl            | 0.012817285 |
|    clip_fraction        | 0.25        |
|    clip_range           | 0.15        |
|    entropy_loss         | -25.1       |
|    explained_variance   | 0.972       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.255      |
|    n_updates            | 480         |
|    policy_gradient_loss | -0.0228     |
|    std                  | 1.06        |
|    value_loss           | 0.0213      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 100         |
|    ep_rew_mean          | 496         |
| time/                   |             |
|    fps                  | 1507        |
|    iterations           | 34          |
|    time_elapsed         | 1478        |
|    total_timesteps      | 2228224     |
| train/                  |             |
|    approx_kl            | 0.012415437 |
|    clip_fraction        | 0.245       |
|    clip_range           | 0.15        |
|    entropy_loss         | -25.1       |
|    explained_variance   | 0.973       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.253      |
|    n_updates            | 495         |
|    policy_gradient_loss | -0.0223     |
|    std                  | 1.06        |
|    value_loss           | 0.0211      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 102         |
|    ep_rew_mean          | 503         |
| time/                   |             |
|    fps                  | 1506        |
|    iterations           | 35          |
|    time_elapsed         | 1522        |
|    total_timesteps      | 2293760     |
| train/                  |             |
|    approx_kl            | 0.012472694 |
|    clip_fraction        | 0.25        |
|    clip_range           | 0.15        |
|    entropy_loss         | -25.2       |
|    explained_variance   | 0.973       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.269      |
|    n_updates            | 510         |
|    policy_gradient_loss | -0.0229     |
|    std                  | 1.07        |
|    value_loss           | 0.0209      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 98.8        |
|    ep_rew_mean          | 491         |
| time/                   |             |
|    fps                  | 1507        |
|    iterations           | 36          |
|    time_elapsed         | 1564        |
|    total_timesteps      | 2359296     |
| train/                  |             |
|    approx_kl            | 0.012656533 |
|    clip_fraction        | 0.251       |
|    clip_range           | 0.15        |
|    entropy_loss         | -25.2       |
|    explained_variance   | 0.973       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.256      |
|    n_updates            | 525         |
|    policy_gradient_loss | -0.0227     |
|    std                  | 1.07        |
|    value_loss           | 0.0202      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 103         |
|    ep_rew_mean          | 514         |
| time/                   |             |
|    fps                  | 1505        |
|    iterations           | 37          |
|    time_elapsed         | 1610        |
|    total_timesteps      | 2424832     |
| train/                  |             |
|    approx_kl            | 0.012767142 |
|    clip_fraction        | 0.252       |
|    clip_range           | 0.15        |
|    entropy_loss         | -25.2       |
|    explained_variance   | 0.972       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.265      |
|    n_updates            | 540         |
|    policy_gradient_loss | -0.0224     |
|    std                  | 1.07        |
|    value_loss           | 0.0211      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 106         |
|    ep_rew_mean          | 535         |
| time/                   |             |
|    fps                  | 1504        |
|    iterations           | 38          |
|    time_elapsed         | 1654        |
|    total_timesteps      | 2490368     |
| train/                  |             |
|    approx_kl            | 0.013046729 |
|    clip_fraction        | 0.254       |
|    clip_range           | 0.15        |
|    entropy_loss         | -25.3       |
|    explained_variance   | 0.973       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.276      |
|    n_updates            | 555         |
|    policy_gradient_loss | -0.0231     |
|    std                  | 1.07        |
|    value_loss           | 0.0198      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 110         |
|    ep_rew_mean          | 542         |
| time/                   |             |
|    fps                  | 1503        |
|    iterations           | 39          |
|    time_elapsed         | 1699        |
|    total_timesteps      | 2555904     |
| train/                  |             |
|    approx_kl            | 0.013327017 |
|    clip_fraction        | 0.256       |
|    clip_range           | 0.15        |
|    entropy_loss         | -25.3       |
|    explained_variance   | 0.973       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.278      |
|    n_updates            | 570         |
|    policy_gradient_loss | -0.0232     |
|    std                  | 1.08        |
|    value_loss           | 0.0204      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 111         |
|    ep_rew_mean          | 547         |
| time/                   |             |
|    fps                  | 1502        |
|    iterations           | 40          |
|    time_elapsed         | 1744        |
|    total_timesteps      | 2621440     |
| train/                  |             |
|    approx_kl            | 0.013219506 |
|    clip_fraction        | 0.255       |
|    clip_range           | 0.15        |
|    entropy_loss         | -25.4       |
|    explained_variance   | 0.973       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.262      |
|    n_updates            | 585         |
|    policy_gradient_loss | -0.023      |
|    std                  | 1.08        |
|    value_loss           | 0.0213      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 112        |
|    ep_rew_mean          | 556        |
| time/                   |            |
|    fps                  | 1499       |
|    iterations           | 41         |
|    time_elapsed         | 1792       |
|    total_timesteps      | 2686976    |
| train/                  |            |
|    approx_kl            | 0.01344127 |
|    clip_fraction        | 0.263      |
|    clip_range           | 0.15       |
|    entropy_loss         | -25.4      |
|    explained_variance   | 0.973      |
|    learning_rate        | 0.0001     |
|    loss                 | -0.256     |
|    n_updates            | 600        |
|    policy_gradient_loss | -0.0238    |
|    std                  | 1.08       |
|    value_loss           | 0.0204     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 112         |
|    ep_rew_mean          | 553         |
| time/                   |             |
|    fps                  | 1499        |
|    iterations           | 42          |
|    time_elapsed         | 1836        |
|    total_timesteps      | 2752512     |
| train/                  |             |
|    approx_kl            | 0.013148259 |
|    clip_fraction        | 0.256       |
|    clip_range           | 0.15        |
|    entropy_loss         | -25.4       |
|    explained_variance   | 0.972       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.262      |
|    n_updates            | 615         |
|    policy_gradient_loss | -0.0227     |
|    std                  | 1.08        |
|    value_loss           | 0.0217      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 119         |
|    ep_rew_mean          | 591         |
| time/                   |             |
|    fps                  | 1499        |
|    iterations           | 43          |
|    time_elapsed         | 1879        |
|    total_timesteps      | 2818048     |
| train/                  |             |
|    approx_kl            | 0.013397504 |
|    clip_fraction        | 0.26        |
|    clip_range           | 0.15        |
|    entropy_loss         | -25.5       |
|    explained_variance   | 0.973       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.258      |
|    n_updates            | 630         |
|    policy_gradient_loss | -0.0227     |
|    std                  | 1.09        |
|    value_loss           | 0.0205      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 114         |
|    ep_rew_mean          | 579         |
| time/                   |             |
|    fps                  | 1498        |
|    iterations           | 44          |
|    time_elapsed         | 1924        |
|    total_timesteps      | 2883584     |
| train/                  |             |
|    approx_kl            | 0.013576474 |
|    clip_fraction        | 0.265       |
|    clip_range           | 0.15        |
|    entropy_loss         | -25.5       |
|    explained_variance   | 0.972       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.269      |
|    n_updates            | 645         |
|    policy_gradient_loss | -0.0232     |
|    std                  | 1.09        |
|    value_loss           | 0.0213      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 119        |
|    ep_rew_mean          | 597        |
| time/                   |            |
|    fps                  | 1497       |
